;;Название категории в 1-с;Цена
;Код;Наименование;
;;;
;RU PUR DENTALIFE Single;;
;12366294;DENTALIFE SMALL Single 16x16.4g RU;38,25
;12366293;DENTALIFE MEDIUM Single 14x23g RU;38,25
;12366292;DENTALIFE LARGE Single 12x35.5g RU;38,25
;RU PUR DENTALIFE Standard;;0,00
;12365699;DENTALIFE SMALL 5x115g RU;139,35
;12365750;DENTALIFE MEDIUM 5x115g RU;139,35
;12365753;DENTALIFE LARGE 5x142g RU;139,35
;PRO PLAN;;0,00
;RU PUR Dog Snacks;;0,00
;12353783;PROPLAN DENTAL PRO BAR д мелкпор 6x150г;232,25
12381634;12123763;PRPN DENTAL PROBAR Д/СД/ЗдорПолРта6x150г;218,71
;12406914;PRO PLAN снек FocusPro Sticks Кур 8x126г;150,28
;12406913;PRO PLAN снек FocusPro Sticks Ягн 8x126г;150,28
;RU PUR ProPlan Dog Biscuit 400g;;0,00
;12333256;PRO PLAN LIGHT Dog Biscuit BiEx4x400g RU;301,25
;12333257;PROPLAN ADL DogBsct BiEx Smn&Ri 4x400gRU;301,25
;12333276;PRO PLAN ADL DogBsctBiEx Lmb&Ri 4x400gRU;301,25
;RU PUR ProPlan Dog лакомство 175g;;0,00
;12407241;PRO PLAN DOG лакомство лосрис 5x175г;150,28
;12407244;PRO PLAN DOG лакомство ягнрис 5x175г;150,28
;CAT CHOW;;0,00
;CAT CHOW Позиции без группы;;0,00
;12402240;CAT CHOW 3в1 Птица 10(400g+85g)PRRU;150,71
;12248591;CAT CHOW ADL Д/ВзК КролПеч14x400г ФЕЛИКС;85,31
;12248528;CAT CHOW ADULT Кур/Инд 14x400г PRФеликс;85,31
;RU PUR Cat Chow 1.5kg - 2kg ;;0,00
;12191688;CAT CHOW UTHдЗдорМочевПутей 6x2кгПР25%RU;423,40
;12191736;CAT CHOW д/стерил/кош Мясо 6x2кгПР25%RU;457,27
;12123730;CAT CHOW проф/ком/шерсти Д.Птица 8х1.5кг;499,35
;12191754;CAT CHOW д/кош с чув/пищ 6x2кг ПР25% RU;423,40
;12216156;CAT CHOW д/кош 3IN1 Мясо 6x2кгПР25%RU;457,27
;12309221;CAT CHOW Д/ВзрКош Утка 8x1.5kg N1 RU;399,48
;12309194;CAT CHOW Д/ВзрКош Птица 8x1.5kg N1 RU;399,48
;12309195;CAT CHOW для котят Птица 8x1.5kg N1 RU;439,44
;12340846;CAT CHOW д/взр/кош Дом.Птиц 6х2кг PR25%;399,48
;12340861;CAT CHOW д/стерил/кошек 6x2кг 25%PR;499,35
;12340848;CAT CHOW SENSITIVE 6x2kg PR25%17RU;499,35
;12340847;CAT CHOW UTH Poultry 6x2kg PR25%17RU;499,35
;12123733;CAT CHOW  SENSITIVE Д/КошСЧувПищ 8x1.5кг;499,35
;12212308;CAT CHOW FELINE 3IN1 PoulTrky 8x1.5kg RU;499,35
;12123730;CAT CHOW HRBLCTRL сух д/к 8x1.5кг N1 RU;499,35
;12123732;CAT CHOW STERILISED Poultry 8x1.5kg N1RU;499,35
;12123731;CAT CHOW UTH ЗдорМочП вз/кош 8x1.5kgN1RU;499,35
;RU PUR Cat Chow 15kg;;0,00
;12113367;CAT CHOW д/кошек Крол и Печ 15кг N1 RU;3402,98
;12113366;CAT CHOW д/кошек Кур и Инд 15кг N1 RU;3402,98
;12147110;C CHOW HRBLCTRL КонтрКомк вз/к 15kg N1RU;4452,49
;12212334;CAT CHOW FELINE 3IN1 д/кошек 15 кг RU;4452,49
;12118695;CAT CHOW KITTEN Д/Котят 15кг N1;3944,21
;12147057;CAT CHOW SENSITIVE д/кош ЧувстПищ 15кгRU;4452,49
;12147058;CAT CHOW STRLS  сух д/кош15кгN2 RU;4452,49
;12309182;CAT CHOW Д/ВзрКош Птица 15kg N1 RU;3574,49
;12309193;CAT CHOW Д/ВзрКош Утка 15kg N1 RU;3574,49
;12147059;CAT CHOW UTH ЗдорМочП вз/кош 15кг N1 RU;4452,49
;RU PUR Cat Chow 400g;;0,00
;12402284;CAT CHOW Стерил 10(400g+85g)PRRU;150,71
;12402239;CAT CHOW д/ВзрК Птица 10(400g+85g)PRRU;120,90
;12161283;CAT CHOW д/кош с чув/пищев 10х400г N1 RU;117,18
;12161312;CAT CHOW д/стерил/кош Мясо 10x400г N1 RU;117,18
;12161280;CAT CHOW д/кош проф/ком/шерст10х400гN4RU;117,18
;12161281;CAT CHOW UTH д ЗдорМочПутей10x400г N3 RU;117,18
;12161282;CAT CHOW д/котят Курица 10x400г N1 RU;106,47
;12212272;CAT CHOW д/кош 3IN1 Мясо 10x400г RU;117,18
;12267387;CAT CHOW д/кош Кролик и Печень 8x400гRU;101,52
;12267388;CAT CHOW д/кош Курица и Индейка 8X400гRU;101,52
;12161311;CAT CHOW д/кош Кур и Инд. 10x400г N1 RU;85,31
;12161266;CAT CHOW д/кош Кур и Инд 10X400г N1 RU;94,01
