;;;Valid from 09.11.2020;Действительно с 09.11.2020;
;;;;;
;;;Price list for goods;Прейскурант на товары;
;;;of HILL’S PET NUTRITION LLC;"ООО ""ХИЛЛС ПЕТ НУТРИШН""";
;;;;;
;;Артикул / SKU; Наименование товара / SKU English Name;Спецификация товара / SKU Russian Name;Отпускная цена с НДС (руб.) 
;Hill's Prescription Diet Canine - сухой диетический корм для собак;;;;
;;10562U;PD Ca DermDef 6x2kg cs;PD корм д/соб д/защиты кожи 6/2кг;2 169,96
;;10560N;PD Ca DermDef 12kg bg;PD корм д/соб д/защиты кожи 12кг;10 418,43
;;2097U;PD Ca Meta 6x1.5kg cs;PD Meta корм д/соб коррек. веса 6/1,5кг;1 467,69
;;2098R;PD Ca Meta 4kg bg;PD Meta корм д/соб коррек. веса 4кг;3 111,79
;;3353U;PD Ca Meta Mini 6x1.5kg cs;PD Meta корм д/соб мини кор веса 6/1,5кг;1 503,84
;;10039N;PD Ca Meta+Mob 12kg bg;PD Meta+ корм д/соб кор веса+сустав 12кг;8 748,30
;;8654U;PD Ca c/d 6x2kg cs;PD c/d корм д/соб при струвитах 6/2кг;1 704,35
;;9176N;PD Ca c/d 12kg bg;PD c/d корм д/соб при струвитах 12кг;8 013,73
;;9117U;PD Ca d/d Duck&R 6x2kg cs;PD d/d корм д/соб аллерг (утк/рис) 6/2кг;1 971,86
;;9118R;PD Ca d/d Duck&R 5kg bg;PD d/d корм д/соб аллерг (утк/рис) 5кг;4 699,50
;;9179N;PD Ca d/d Duck&R 12kg bg;PD d/d корм д/соб аллерг (утк/рис) 12кг;9 466,96
;;9114U;PD Ca d/d Sal&R 6x2kg cs;PD d/d корм д/соб аллерг (лос/рис) 6/2кг;1 971,86
;;9178N;PD Ca d/d Sal&R 12kg cs;PD d/d корм д/соб аллерг (лос/рис) 12кг;9 466,96
;;604457;PD Ca GIBio 6x1.5kg cs;PD Biome корм д/соб ЖКТ-Биом 6/1,5кг;1 929,69
;;604458;PD Ca GIBio 10kg bg;PD Biome корм д/соб ЖКТ-Биом 10кг;9 057,74
;;8652U;PD Ca i/d 6x2kg cs;PD i/d корм д/соб д/пищ. тракта 6/2кг;1 968,25
;;9181N;PD Ca i/d 12kg bg;PD i/d корм д/соб д/пищ. тракта 12кг;9 238,49
;;1803U;PD Ca i/d LF 6x1.5kg cs;PD i/d корм д/соб д/ЖКТ н/калор 6/1,5кг;1 580,24
;;1809N;PD Ca i/d LF 12kg bg;PD i/d корм д/соб д/ЖКТ н/калор 12кг;10 231,90
;;10469U;PD Ca i/d Strs Mini 6x1.5kg cs;PD i/d корм д/соб ЖКТ+стресс мин 6/1,5кг;1 614,22
;;10470R;PD Ca i/d Strs Mini 5kg bg;PD i/d корм д/соб ЖКТ+стресс мини 5кг;4 913,51
;;4516U;PD Ca j/d 6x2kg cs;PD j/d корм д/соб д/сустав 6/2кг;2 049,22
;;9183N;PD Ca j/d 12kg bg;PD j/d корм д/соб д/сустав 12кг;9 294,89
;;8658U;PD Ca k/d 6x2kg cs;PD k/d корм д/соб д/почек 6/2кг;1 996,93
;;9182N;PD Ca k/d 12kg bg;PD k/d корм д/соб д/почек 12кг;9 211,02
;;10746N;PD Ca k/d+mob 12kg bg;PD k/d+Mob корм д/соб поч+суставы 12кг;10 260,82
;;8660U;PD Ca l/d 6x2kg cs;PD l/d корм д/соб д/печени 6/2кг;2 035,73
;;7339R;PD Ca l/d 5kg bg;PD l/d корм д/соб д/печени 5кг;4 818,07
;;8669N;PD Ca l/d 12kg bg;PD l/d корм д/соб д/печени 12кг;8 566,10
;;4023R;PD Ca t/d 3kg bg;PD t/d корм д/соб д/зубов 3кг;2 650,52
;;4378R;PD Ca u/d 5kg bg;PD u/d корм д/соб при поч. недост. 5кг;5 146,31
;;6656U;PD Ca w/d 6x1.5kg cs;PD w/d корм д/соб при диабете 6/1,5кг;1 652,54
;;6662N;PD Ca w/d 12kg bg;PD w/d корм д/соб при диабете 12кг;8 890,01
;;10178U;PD Ca z/d Mini 6x1.5kg cs;PD z/d корм д/соб мини аллерг  6/1,5кг;1 631,33
;;8887R;PD Ca z/d 3kg bg;PD z/d корм д/соб аллерг 3кг;3 214,46
;;605525;PD Ca z/d 8kg bg;PD z/d Ultra корм д/соб аллерг 8кг;7 018,88
;;;;;
;Hill's Prescription Diet Feline - сухой диетический корм для кошек;;;;
;;2146W;PD Fel Meta 6x250g cs;PD Meta корм д/кош коррек. веса 6/250г;329,45
;;2147U;PD Fel Meta 6x1.5kg cs;PD Meta корм д/кош коррек. веса 6/1,5кг;1 853,05
;;2148R;PD Fel Meta 4kg bg;PD Meta корм д/кош коррек. веса 4кг;3 288,20
;;10544U;PD Fel Meta+Uri Strs 6x1.5kg cs;PD Meta+ корм д/кош вес+стресс 6/1,5кг;1 779,06
;;5482W;PD Fel c/d 6x400g cs;PD c/d корм д/кош урол. (с кур) 6/400г;529,72
;;9185U;PD Fel c/d Ckn 6x1.5kg cs;PD c/d корм д/кош урол. (с кур) 6/1,5кг;1 663,38
;;9043R;PD Fel c/d Ckn 5kg bg;PD c/d корм д/кош урол. (с кур) 5кг;4 803,61
