;;;Valid from 01.06.2020;Действительно с 01.06.2020;;
;;;;;;
;;;Price list for goods;Прейскурант на товары;;
;;;of HILL’S PET NUTRITION LLC;"ООО ""ХИЛЛС ПЕТ НУТРИШН""";;
;;;;;;
;;Артикул / SKU; Наименование товара / SKU English Name;Спецификация товара / SKU Russian Name;Ставка НДС, %;Отпускная цена с НДС (руб.) 
;Hill's Prescription Diet Canine - сухой диетический корм для собак;;;;;
;;10562U;PD Ca DermDef 6x2kg cs;PD корм д/соб д/защиты кожи 6/2кг;20%;1 972,59  
;;10560N;PD Ca DermDef 12kg bg;PD корм д/соб д/защиты кожи 12кг;20%;9 471,30  
;;2097U;PD Ca Meta 6x1.5kg cs;PD Meta корм д/соб коррек. веса 6/1,5кг;20%;1 371,77  
;;2098R;PD Ca Meta 4kg bg;PD Meta корм д/соб коррек. веса 4кг;20%;2 907,91  
;;3353U;PD Ca Meta Mini 6x1.5kg cs;PD Meta корм д/соб мини кор веса 6/1,5кг;20%;1 405,51  
;;10039N;PD Ca Meta+Mob 12kg bg;PD Meta+ корм д/соб кор веса+сустав 12кг;20%;8 175,68  
;;8654U;PD Ca c/d 6x2kg cs;PD c/d корм д/соб при струвитах 6/2кг;20%;1 654,71  
;;9176N;PD Ca c/d 12kg bg;PD c/d корм д/соб при струвитах 12кг;20%;7 780,93  
;;9117U;PD Ca d/d Duck&R 6x2kg cs;PD d/d корм д/соб аллерг (утк/рис) 6/2кг;20%;1 971,86  
;;9118R;PD Ca d/d Duck&R 5kg bg;PD d/d корм д/соб аллерг (утк/рис) 5кг;20%;4 699,50  
;;9179N;PD Ca d/d Duck&R 12kg bg;PD d/d корм д/соб аллерг (утк/рис) 12кг;20%;9 466,96  
;;9114U;PD Ca d/d Sal&R 6x2kg cs;PD d/d корм д/соб аллерг (лос/рис) 6/2кг;20%;1 971,86  
;;9178N;PD Ca d/d Sal&R 12kg cs;PD d/d корм д/соб аллерг (лос/рис) 12кг;20%;9 466,96  
;;604457;PD Ca GIBio 6x1.5kg cs;PD Biome корм д/соб ЖКТ-Биом 6/1,5кг;20%;1 803,40  
;;604458;PD Ca GIBio 10kg bg;PD Biome корм д/соб ЖКТ-Биом 10кг;20%;8 464,88  
;;8652U;PD Ca i/d 6x2kg cs;PD i/d корм д/соб д/пищ. тракта 6/2кг;20%;1 839,55  
;;9181N;PD Ca i/d 12kg bg;PD i/d корм д/соб д/пищ. тракта 12кг;20%;8 634,07  
;;1803U;PD Ca i/d LF 6x1.5kg cs;PD i/d корм д/соб д/ЖКТ н/калор 6/1,5кг;20%;1 476,85  
;;1809N;PD Ca i/d LF 12kg bg;PD i/d корм д/соб д/ЖКТ н/калор 12кг;20%;9 562,40  
;;10469U;PD Ca i/d Strs Mini 6x1.5kg cs;PD i/d корм д/соб ЖКТ+стресс мин 6/1,5кг;20%;1 508,66  
