Код;Наименование;Упак.;Цена, руб;Заказ
;РОЯЛ КАНИН  (Корм для животных);;;
;Felin Healfh Nutrition;;;
;Breed feline;;;
440373;Бенгал 0,4 кг;12;348;
443324;Бенгал 2 кг;6;1506;
386777;Бритиш Шортхэйр    0,4 кг;12;348;
386778;Бритиш Шортхэйр   2 кг;6;1506;
386779;Бритиш Шортхэйр   4 кг;4;2890;
386776;Бритиш Шортхэйр  10кг.;1;6633;
418425;Киттен Бритиш Шортхэйр    0,4 кг;12;348;
418427;Киттен Бритиш Шортхэйр    10 кг;1;6633;
418426;Киттен Бритиш Шортхэйр    2 кг;6;1506;
410120;Киттен Мэйн Кун   0,4 кг;12;348;
421588;Киттен Мэйн Кун   2кг;6;1506;
410119;Киттен Мэйн Кун   4 кг;4;2890;
386765;Киттен Персиан   0,4 кг;12;348;
386766;Киттен Персиан  2 кг;6;1506;
476412;Киттен Сфинкс 0,4 кг;12;348;
475068;Киттен Сфинкс 2 кг;6;1506;
386783;Мэйн Кун    0,4 кг;12;348;
386782;Мэйн Кун   2 кг;6;1537;
451265;Мэйн Кун   4 кг;4;2890;
386785;Мэйн Кун  10 кг;1;6633;
445287;Норвежская лесная Эдалт 0,4 кг;12;355;
440859;Норвежская лесная Эдалт 2 кг;6;1537;
386770;Персиан   0,4 кг;12;348;
386771;Персиан  2 кг;6;1506;
386769;Персиан  4 кг;4;2890;
386772;Персиан 10кг;1;6633;
386788;Сиамиз    0,4 кг;12;348;
386789;Сиамиз   2 кг;6;1506;
386787;Сибирская 0,4;12;348;
386768;Сибирская 2кг;1;1506;
386773;Сфинкс    0,4 кг;12;348;
386774;Сфинкс   2 кг;6;1506;
386775;Сфинкс  10кг;1;6633;
;Growth (Дети);;;
481215;Киттен   0,3кг;12;230;
386677;Киттен   0,4 кг;12;307;
386678;Киттен  2 кг;6;1333;
386679;Киттен  4 кг;4;2558;
386680;Киттен 10кг;1;5907;
414496;Киттен Стерилайзд 0,4 кг;12;307;
414493;Киттен Стерилайзд 2 кг;6;1333;
475115;Киттен Стерилайзд 3,5 кг;4;2236;
417913;Мазер энд Бебикэт  0,4 кг;12;307;
418094;Мазер энд Бебикэт  2 кг;6;1333;
421568;Мазер энд Бебикэт  4 кг;4;2558;
;Indoor;;;
386698;Индор   0,4 кг;12;305;
386701;Индор  10кг;1;6099;
386699;Индор  2 кг;6;1325;
386700;Индор  4 кг;4;2535;
405446;Индор +7  400г;12;305;
403001;Индор +7 1,5 кг;6;993;
404885;Индор +7 3,5 кг;4;2216;
428193;Индор Апетайт Контрол 0,4 кг;12;305;
425314;Индор Апетайт Контрол 2 кг;6;1325;
386702;Индор Лонг Хэйр   0,4 кг;12;305;
386705;Индор Лонг Хэйр  2 кг;6;1325;
386708;Индор Лонг Хэйр 10кг;1;6099;
;InOutdoor;;;
386685;Фит  0,4 кг;12;279;
386688;Фит 15 кг;1;7613;
386686;Фит 2 кг;6;1165;
386687;Фит 4 кг;4;2245;
;Special;;;
386724;Арома Эксиджент 0,4 кг;12;305;
386725;Арома Эксиджент 10кг;1;6099;
386723;Арома Эксиджент 2 кг;6;1325;
386735;Дайджестив Кэа 0,4 кг;12;356;
386738;Дайджестив Кэа 10кг;1;6770;
386736;Дайджестив Кэа 2 кг;6;1550;
386747;Лайт вейт кэа 0,4 кг;12;356;
386750;Лайт вейт кэа 10 кг.;1;6770;
386748;Лайт вейт кэа 2 кг;6;1550;
407440;Лайт вейт кэа 3,5 кг;4;2606;
386743;Орал Кэа 0,4 кг;12;356;
386744;Орал Кэа 1,5 кг;6;1163;
386746;Орал Кэа 8 кг;1;5314;
386732;Протеин Эксиджент  0,4 кг;12;305;
386731;Протеин Эксиджент  2 кг;6;1325;
457411;Протеин Эксиджент  4 кг;6;2535;
386733;Протеин Эксиджент 10 кг;1;6099;
386714;Сенсибл  0,4 кг;12;291;
386717;Сенсибл 15 кг.;1;8278;
386715;Сенсибл 2 кг;6;1261;
386716;Сенсибл 4 кг;4;2422;
386719;Стерилайзд  0,4 кг;12;291;
386718;Стерилайзд  10 кг;1;5519;
386720;Стерилайзд  2 кг;6;1261;
386721;Стерилайзд  4 кг;4;2422;
405447;Стерилайзд 7+  400г;12;291;
404640;Стерилайзд 7+ 1,5 кг;6;948;
425028;Стерилайзд 7+ 3,5 кг;4;2119;
415527;Стерилайзд Эйджинг 12 + 0,4 кг;12;291;
416401;Стерилайзд Эйджинг 12 + 2 кг;6;1261;
415526;Стерилайзд Эйджинг 12 + 4 кг;4;2422;
386727;Сэйвор Эксиджент 0,4 кг;12;305;
