;;;;;;;;;Барнаул 02.2020;;;
Позиция;Фото; Наименование ; шт/уп ; вес упаковка/ кг ; Объем, м3/уп ; Цена, руб ; Заказ, шт ; Сумма заказа, руб. ; Вес, кг ; Объем в м3 ; Кол-во Упаковок ; штрих-код  
1;;Наполнитель бентонитовый оригинальный  10л Хочу еще;3;24,45;0,043;264,35;;0;0;0;0;4630030820581
2;;Наполнитель бентонитовый оригинальный  5л Хочу еще;6;24,6;0,043;141,95;;0;0;0;0;4630030820574
3;;Наполнитель бентонитовый яблоко  10л Хочу еще;3;24,45;0,043;282,2;;0;0;0;0;4630030820628
4;;Наполнитель бентонитовый яблоко  5л Хочу еще;6;24,6;0,043;149,6;;0;0;0;0;4630030820598
5;;Наполнитель золотой  бентонитовый для длинношерстных   5 кг ;4;20,62;0,022;165,24;;0;0;0;0;4630030820758
6;;Наполнитель золотой  бентонитовый для длинношерстных  25 кг ;1;25;0,073;577,15;;0;0;0;0;4630030821106
7;;Наполнитель золотой  бентонитовый свежесть  5 кг ;4;20,62;0,022;158,44;;0;0;0;0;4630030820772
8;;Наполнитель золотой  бентонитовый ультра  25 кг;1;25;0,073;589,05;;0;0;0;0;4630030821090
9;;Наполнитель золотой  бентонитовый ультра  5кг ;4;20,62;0,022;148,92;;0;0;0;0;4630030820734
10;;Наполнитель золотой бентонитовый для длинношерстных  10 кг;2;20,62;0,022;293,76;;0;0;0;0;4630030820765
11;;Наполнитель золотой бентонитовый ультра  10 кг;2;20,62;0,022;264,52;;0;0;0;0;4630030820741
12;;Грудка фазана 500 гр.;12;8,35;0,032;812;;0;0;0;0;4630030821595
13;;Здоровые зубки 600 гр.;12;9,1;0,032;657;;0;0;0;0;4630030820376
14;;Кальциевая косточка с цыпленком 700 гр.;12;10,3;0,032;865;;0;0;0;0;4630030820345
15;;Колбаски из говядины 700 гр.;12;10,3;0,032;924;;0;0;0;0;4630030820246
16;;Колбаски из кролика 700 гр.;12;10,3;0,032;924;;0;0;0;0;4630030820253
17;;Колбаски из мяса ягненка 700 гр.;12;10,3;0,032;924;;0;0;0;0;4630030820239
18;;Колбаски из тунца 700 гр.;12;10,3;0,032;924;;0;0;0;0;4630030820260
19;;Кроличьи ушки 450 гр.;12;7,75;0,032;722;;0;0;0;0;4630030821571
20;;Куриная нарезка 550 гр.;12;8,5;0,032;759;;0;0;0;0;4630030820314
21;;Куриная строганина 550 гр.;12;8,5;0,032;731;;0;0;0;0;4630030820178
22;;Куриные гантельки 600 гр.;12;9,1;0,032;758;;0;0;0;0;4630030820277
23;;Куриные колбаски 700 гр.;12;10,3;0,032;772;;0;0;0;0;4630030820215
24;;Куриные тефтельки 800 гр.;12;11,5;0,032;993;;0;0;0;0;4630030820284
25;;Медальоны из курицы 600 гр.;12;9,1;0,032;779;;0;0;0;0;4630030820192
26;;Медальоны из мяса ягненка 600 гр.;12;9,1;0,032;858;;0;0;0;0;4630030820208
27;;Мясной бисквит 700 гр.;12;10,3;0,032;582;;0;0;0;0;4630030820406
28;;Мясо по-сибирски 750 гр.;12;10,9;0,032;919;;0;0;0;0;4630030820406
29;;Палочки из трески и курицы 750 гр.;12;10,9;0,032;919;;0;0;0;0;4630030820352
30;;Палочки из трески и утки 750 гр.;12;10,9;0,032;919;;0;0;0;0;4630030820369
31;;Сосиски кроха 750 гр.;12;10,9;0,032;919;;0;0;0;0;4630030820390
32;;Тефтельки из говядины 800 гр.;12;11,5;0,032;1127;;0;0;0;0;4630030820307
33;;Тефтельки из мяса ягненка 800 гр.;12;11,5;0,032;1127;;0;0;0;0;4630030820291
34;;Утиное филе 400 гр.;12;6,7;0,032;581;;0;0;0;0;4630030820185
35;;Утиные колбаски 700 гр.;12;10,3;0,032;772;;0;0;0;0;4630030820222
36;;Утиные шашлычки 600 гр.;12;9,1;0,032;799;;0;0;0;0;4630030820383
37;;Утка на косточке 700 гр.;12;10,3;0,032;865;;0;0;0;0;4630030820338
38;;Цыпленок на косточке 700 гр.;12;10,3;0,032;865;;0;0;0;0;4630030820321
39;;Здоровые зубки 75 гр.;60;6,7;0,024;104;;0;0;0;0;4630030820918
40;;Кальциевая косточка с цыпленком 75 гр.;60;6,7;0,024;110;;0;0;0;0;4630030820901
41;;Колбаски из говядины 75 гр.;60;6,7;0,024;118;;0;0;0;0;4630030820840
42;;Колбаски из кролика 75 гр.;60;6,7;0,024;118;;0;0;0;0;4630030820857
43;;Колбаски из мяса ягненка 75 гр.;60;6,7;0,025;118;;0;0;0;0;4630030820833
44;;Колбаски из тунца 20 гр.;50;1;0,001;38;;0;0;0;0;4630030821519
45;;Колбаски из тунца 35 гр.;120;6,9;0,023;61;;0;0;0;0;4630030820949
46;;Колбаски из тунца 75 гр.;60;6,7;0,024;118;;0;0;0;0;4630030820864
47;;Кроличьи ушки 20 гр.;50;1;0,001;39;;0;0;0;0;4630030821557
48;;Куриные гантельки 75 гр.;60;6,7;0,024;110;;0;0;0;0;4630030820871
49;;Куриные колбаски 75 гр.;60;6,7;0,024;100;;0;0;0;0;4630030820819
50;;Куриные ломтики 35 гр;120;6,6;0,023;61;;0;0;0;0;4630030820963
51;;Медальоны из курицы 75 гр.;60;6,7;0,024;124;;0;0;0;0;4630030820796
