;;Название категории в 1-с;База 1
;RU PUR DENTALIFE Single;;
;12366294;DENTALIFE SMALL Single 16x16.4g RU;38,25
;12366293;DENTALIFE MEDIUM Single 14x23g RU;38,25
;12366292;DENTALIFE LARGE Single 12x35.5g RU;38,25
;RU PUR DENTALIFE Standard;;0,00
;12365699;DENTALIFE SMALL 5x115g RU;139,35
12452741;12365750;DENTALIFE MEDIUM 5x115g RU;139,35
12452807;12365753;DENTALIFE LARGE 5x142g RU;139,35
;PRO PLAN;;0,00
;RU PUR Dog Snacks;;0,00
12431877;12353783;PROPLAN DENTAL PRO BAR д мелкпор 6x150г;236,90
12431587;12381634;PROPLAN DENTAL PROBAR крсредпор 150г (6);223,08
;12406914;PRO PLAN снек FocusPro Sticks Кур 8x126г;153,29
;12406913;PRO PLAN снек FocusPro Sticks Ягн 8x126г;153,29
;RU PUR ProPlan Dog Biscuit 400g;;0,00
;12333256;PRO PLAN Dog лакомство куррис 4x400г;310,29
;12333257;PRO PLAN DOG лакомство лосрис 4x400г;310,29
;12333276;PRO PLAN DOG лакомство ягнрис 4x400г;310,29
;RU PUR ProPlan Dog лакомство 175g;;0,00
;12407241;PRO PLAN DOG лакомство лосрис 5x175г;150,28
;12407244;PRO PLAN DOG лакомство ягнрис 5x175г;150,28
;CAT CHOW;;0,00
;RU PUR Cat Chow 1.5kg - 2kg ;;0,00
;12123730;CAT CHOW проф/ком/шерсти Д.Птица 8х1.5кг;449,41
;12309221;CAT CHOW Д/ВзрКош Утка 8x1.5kg N1 RU;359,53
;12309194;CAT CHOW Д/ВзрКош Птица 8x1.5kg N1 RU;359,53
;12309195;CAT CHOW для котят Птица 8x1.5kg N1 RU;395,50
;12123733;CAT CHOW  SENSITIVE Д/КошСЧувПищ 8x1.5кг;449,41
;12212308;CAT CHOW FELINE 3IN1 PoulTrky 8x1.5kg RU;449,41
;12123730;CAT CHOW HRBLCTRL сух д/к 8x1.5кг N1 RU;449,41
;12123732;CAT CHOW STERILISED Poultry 8x1.5kg N1RU;449,41
;12123731;CAT CHOW UTH ЗдорМочП вз/кош 8x1.5kgN1RU;449,41
;12340846;CAT CHOW д/взр/кош Дом.Птиц 6х2кг PR25%;359,53
;12340861;CAT CHOW д/стерил/кошек 6x2кг 25%PR;449,41
;12340848;CAT CHOW SENSITIVE 6x2kg PR25%17RU;449,41
;12340847;CAT CHOW UTH Poultry 6x2kg PR25%17RU;449,41
;RU PUR Cat Chow 15kg;;0,00
;12147110;C CHOW HRBLCTRL КонтрКомк вз/к 15kg N1RU;4007,26
;12212334;CAT CHOW FELINE 3IN1 д/кошек 15 кг RU;4007,26
;12118695;CAT CHOW KITTEN Д/Котят 15кг N1;3549,79
;12147057;CAT CHOW SENSITIVE д/кош ЧувстПищ 15кгRU;4007,26
;12147058;CAT CHOW STRLS  сух д/кош15кгN2 RU;4007,26
;12309182;CAT CHOW Д/ВзрКош Птица 15kg N1 RU;3217,04
;12309193;CAT CHOW Д/ВзрКош Утка 15kg N1 RU;3217,04
;12147059;CAT CHOW UTH ЗдорМочП вз/кош 15кг N1 RU;4007,26
;RU PUR Cat Chow 400g;;0,00
;12267403;CAT CHOW FELINE 3IN1 Meat 8x400g RU;135,64
;12267402;CAT CHOW SPCR для вз кошек Конт Обр Ком Шер 400г (8);135,64
;12267386;CAT CHOW KITTEN Д/Котят кур 8x400g RU;120,89
;12267406;CAT CHOW SENSITIVE д/чувст 8x400g RU ;135,64
;12267405;CAT CHOW STERILISED д/стерл 8x400г RU;135,64
;12292070;CAT CHOW ADULT Duck 8x400g RU ;108,81
;12292072;CAT CHOW ADULT Poultry 8x400g RU;108,81
;12267404;CAT CHOW UTH д/моч 8x400г RU;135,64
;12344871;CAT CHOW д/ВзрК Утка 8x400гPR100гFree RU;81,61
;12344884;CAT CHOW стерил ДПтиц 8x400гPR100гFreeRU;101,74
;12344872;CATCHOW д/ВзрК ДПтиц 8x400гPR100гFreeRU;81,61
12439909;12402284;CAT CHOW Стерил 10(400g+85g)PRRU;135,64
;12402239;CAT CHOW д/ВзрК Птица 10(400g+85g)PRRU;108,82
;12402240;CAT CHOW 3в1 Птица 10(400g+85g)PRRU;135,62
;RU PUR Cat Chow 7kg;;0,00
;12392566;CAT CHOW ADULT Птица 7kg RU;1561,34
;12392569;CAT CHOW UTH Птица 7кгRU;1944,85
;12392580;CAT CHOW SENSITIVE ПтицаЛосось 7кг RU;1944,85
;12392564;CAT CHOW KITTEN Птица 7кг RU;1722,84
;12392568;CAT CHOW HAIRBALL CONTROL Птица 7кг RU;1944,85
;12392565;CAT CHOW ADULT Утка 7кг RU;1561,34
;12392567;CAT CHOW FELINE 3IN1 ПтицаИндейка7кг RU;1944,85
;12392545;CAT CHOW STERILISED Птица 7кг RU;1944,85
;RU PUR Cat Chow Wet 85g;;0,00
;12349677;CAT CHOW ADULT GiJ Bf&Abg 24x85g RU;26,39
;12349810;CAT CHOW ADULT GiJ Chkn&Crgt 24x85g RU;26,39
;12349769;CAT CHOW ADULT GiJ Lmb&Grnb 24x85g RU;26,39
;12349811;CAT CHOW Д/ВзрКош ГвЖ Лосось ЗелФас24х85;26,39
;12349389;CAT CHOW Д/Котят ГвЖ Инд&Каб 24x85g XE;26,39
;12403823;CAT CHOW Д/Котят Ягн&Каб соус 24x85g RU;26,39
;12403822;CAT CHOW Д/СтерилКош Кур&Бак соус 24x85g;26,39
;12403813;CAT CHOW Д/СтерилКош Ягн&ЗелФ соус24x85g;26,39
;12403814;CAT CHOW Д/КошСЧувПищ Лос&Каб соус24x85g;26,39
;12404604;CAT CHOW ДПрофКомШер Кур&ЗелФ соус24x85g;26,39
;12404227;CATCHOW ADL GiJ Bf MP12(5x85g)PR4+1RU;105,61
;12404225;CAT CHOW Д/ВзрКош ГвЖ Кур&Каб МП(5x85g);105,61
;12404226;CAT CHOW Д/ВзрКош ГвЖ Ягн&ЗелФ МП(5x85g);105,61
;12404224;CAT CHOW Д/ВзрКош ГвЖ Лос&ЗелФ МП(5x85g);105,61
;12439307;CAT CHOW Взр Кош Ассорти 4+1 (5x85г);105,58
;12439919;CAT CHOW Стер Кош Кур Ягн 4+1 (5x85г);105,58
;PRO PLAN;;0,00
;RU PUR Pro Plan Dry Cat 1.5kg;;0,00
;12369534;PRO PLAN ADULT Cat Д/Кош Курица 6x1.5кг;985,58
;12369714;PRO PLAN Cat д/взр Лосось 6x1.5кг RU;985,58
;12371026;PRO PLAN Cat Элегант д\шер Лосось6х1.5кг;1077,54
;12384646;PRO PLAN Cat д/стер утка&печень 6x1.5кг;1151,30
;12384810;PROPLAN Cat д/стер треска&форель 6x1.5кг;1151,30
12400595, 12403759, 12381815;12369073;PRO PLAN Cat д/стерилиз Индейка 6x1.5кг;1077,54
;12370359;PRO PLANCat Стерил орг/чув Лосось6х1.5кг;1151,30
;12370474;PRO PLAN Cat Стерил чув пищ Кур 6х1.5кг;1151,30
12400592;12369076;PRO PLAN Cat д/стерилиз Кролик 6x1.5кгRU;1077,54
;12400591;PRO PLAN Cat д/стерилиз Лосось 6x1.5кгRU;1077,54
12335891, 12400594, 12369872, 12403790;12400594;PRO PLAN DELICATE Д/К СЧувПищ Инд6x1.5кг;1088,02
;12369850;PRO PLAN Cat д/чув пищев Ягненок 1.5кг (6);1077,54
;12381723;PRO PLAN Cat д/взр 7+ Лосось 6х1.5кг RU;1088,02
;12369004;PPRO PLAN Cat д/стерилиз 7+ Инд 6x1.5кг;1077,54
;12381724;PRO PLAN Cat д/чув пищ 7+ Индейк 1.5кг (6);1077,54
;12422150;PRO PLAN д/стерил котят Лосось 6x1.5кгRU;1037,08
12335892, 12400593, 12403791, 12293286, 12369870;12293286;PRO PLAN Cat д/котят чув пищев инд 6x1.5;1037,08
;12369477;PRO PLAN Cat д/котят Курица 6x1.5кг RU;1037,08
12305888;12400595;PRO PLAN Cat д/стерил Инд 6x1.9кг+400гRU;1077,54
12329000, 12305932;12400594;PRO PLAN Cat д/чув пищ Инд 6х1.9кг+400г;1088,02
;12305930;PRO PLAN Cat д/чув кожи Лос 1.9кг(6)+400г;1077,54
12363327;12400592;PRO PLAN стерилкош Крол 6x(1.5кг+400г)PR;1077,54
;RU PUR Pro Plan Wet Cat 85g;;0,00
12171996;12381706;PRO PLAN ADULT 7+ Д/К с тунцом 24x85г;72,67
;12381814;PROPLAN д/кош чув пищ Инд 24x85г банкаN1;72,67
;12381700;PROPLAN д/кош избыт/вес Инд24x85г банкN1;72,67
;12381705;PRO PLAN STRLS Cat HsCC Smn&Tn 85g (24) RU;72,67
12065833;12381669;PRO PLAN д/взр кош Курица 24x85г банкаN1;72,67
;12381707;PRO PLAN д/котят Курица 24x85г банка N1;72,67
12171997;12381707;PRO PLAN JUNIOR Cat Д/Котят с кур 24x85г;72,67
;12384844;PRO PLAN Baby Ktn Mse Chicken 24x85gRU;72,67
12327971;12363624;PRO PLAN чув+взр Инд/Кур 12(5x85g)PR4+1;290,68
;12281967;PRO PLAN STERILISED Cat HsCCSmn&Tn 85г*5 (12) PR4+1 RU;290,68
;RU PUR Pro Plan Wet Cat Alupouch 85g;;#Н/Д
;12287095;PRO PLAN Cat д/взр CiJ Ягнен 24x85г пауч ;53,44
;12287208;PRO PLAN Cat д/домашн кош CiJ ИНД 24x85г ;53,44
;12249431;PRO PLAN DLCT Д/КошЧувПищ Инд 24x85гр RU;53,44
;12249246;PRO PLAN DTEД/КошЧувПищОкРыб24x85грRU;53,44
;12249425;PRO PLAN HSCT Д/ДомКош Лос 24x85гр RU;53,44
;12238547;PRO PLAN JUNIOR Д/КотятИндейка24x85гр RU;53,44
;12249441;PRO PLAN STRL Д/СтерКош Говяд 24x85гр RU;53,44
;12249432;PRO PLAN STRL Д/СтерКош Куриц 24x85гр RU;53,44
;12305655;PRO PLAN DELICATE Cat GiG Lamb 24x85g RU;53,44
;12305656;PRO PLAN JUNIOR Cat GiG Beef 24x85g RU;53,44
;12305886;PRO PLAN STERILISED Cat GiG Duck24x85gRU;53,44
;12305887;PRO PLAN STERILISED Cat GiGOFish24x85gRU;53,44
;12286804;PRO PLAN Cat д/взр CiJ Инд 24x85г паучRU;53,44
;12287047;PRO PLAN Cat д/стерилиз CiJ Инд 24x85гRU;53,44
;12287087;PRO PLAN Cat д/котятCiJ Кур 24x85г пауч;53,44
;12342497;PRO PLAN д/взр кош 7+ Индей/соус24x85гRU;53,44
;12342770;PRO PLAN д/взр кош Утка/соус 24x85гRU;53,44
;12342771;PRO PLAN д/кош Дерма+ Треск/соус24x85гRU;53,44
;12287097;PRO PLAN Cat д/стерилиз CiJ Океан 24x85г;53,44
;12328130;PRO PLAN д/котят инд + гов GiG 12(5x85g);213,79
;12328131;PRO PLAN чув пищ Инд+ягн GiG 12(5x85);213,79
;12363627;PRO PLAN д/взр Инд/Ягнен 12(5x85g)PR4+1;213,79
;12363626;PRO PLAN д/стер Инд/Говяд 12(5x85g)PR4+1;213,79
;12363625;PRO PLAN д/стер Кур/Утка 12(5x85g)PR4+1;213,79
;12418802;PRPNDTE GiGMVChkn&Lmb3 8(4x85g+200g)PRRU;213,76
;12418776;PRPNSTRLSMVChkn&Trky10 8(4x85g+200g)PRRU;213,76
;RU PUR Pro Plan Cat BioDefense 400g;;0,00
;12384839;PPC ActiProtect д/стерил кош Инд 400грRU;325,18
;12384835;PPC ActiProtect д/котят Инд 400гRU;325,18
;RU PUR Pro Plan Cat BioDefense 1,5kg;;0,00
;12384965;PPC ActiProtect д/стерил кош 7+ Инд 1,5к;1150,80
;12384836;PPC ActiProtect д/котят Инд 1,5кгRU;1150,80
;12384837;PPC ActiProtect д/стерил кош Лос 1,5кгRU;1150,80
;12384963;PPC ActiProtect д/стерил кош Инд 1,5кгRU;1150,80
;RU PUR Pro Plan Cat BioDefense 3kg;;0,00
;12384838;PPC ActiProtect д/стерил кош Лос 3кгRU;2160,96
;12384964;PPC ActiProtect д/стерил кош Инд 3кгRU;2160,96
;RU PUR ProPlan Dry Cat 3kg;;0,00
;12369717;PRO PLAN Cat д/взр Лосось 4x3кг RU;1813,76
;12369795;PRO PLAN Cat д/взр Курица 4x3кг RU;1813,76
;12384647;PRO PLAN Cat д/стер утка&печень 4x3кгRU;2161,69
;12384812;PRO PLAN Cat д/стер треска&форель 4x3кг;2161,69
12381683;12369003;PRO PLAN Cat д/стерил 7+ Индейка 4x3кгRU;2023,63
12381680;12369083;PRO PLAN Cat д/стерилиз Кролик 4x3кг RU;2023,63
;12370370;PRO PLAN Cat Стерил орг/чув Лосось 4х3кг;2161,69
;12369930;PRPN STERILISED Cat Д/СтерК Инд 4x3кг;2023,63
;12370522;PRO PLAN Cat Стерил чув пищ Кур 4х3кг;2161,69
12381681;12369079;PRO PLAN Cat д/стерилиз Лосось 4x3кг RU;2023,63
12360978;12369871;PRO PLAN Cat д/чув пищев Индейка 4х3кг;2023,63
;12381691;PRO PLAN Cat д/чув пищ 7+ Индейка 4х3кг;2023,63
12381690, 12322751;12370580;PRO PLAN Cat д/чув пищев Ягненок 4x3кгRU;2023,63
;12369531;PRO PLAN JUNIOR Cat Д/КотятКурица4x3кг;1929,07
;12422148;PRO PLAN д/стерил котят Лосось 4x3кг RU;1929,07
;12369818;PRO PLAN Cat д/котят чув пищев инд 4x3кг;1929,07
