1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Артикул Hill's,Прежний артикул Hi's,Штрихкод штуки,Штрихкод упаковки,Бренд,Саб-бренд,Основной фильтр в каталоге,Название ассортиментной линейки,Категория,Название продукта в карточке товара,Ключевые запросы (фиды) для поиска продукта на сайте и в интернете,,,,,,,,,,,,,,,,,Тип продукта,Вкус,Тип корма,Питомец,Назначение,Возраст питомца,Порода питомца,Производитель,Страна изготовления,Ссылка на сайт производителя,Описание бренда Hill's,"Описание суб-бренда Science Plan, Prescription Diet, Nature's best, Ideal Balance",Ключевые преимущества продукта,Ссылка на Rich контент,Дополнительное описание,Не рекомендуется,Длительность курса,Перевод на данный корм,Рекомендация по кормлению,Срок годности (мес),Состав на упаковке,Содержание мяса (%),Питательные вещества,Добавки на кг,Калорийность,Не содержит,Тип упаковки,Вес упаковки,Кол-во в упаковке/вес,Размер упаковки (ДхШхВ) (см),Условия хранения,Ссылка на изображение,ВИДЕО
604046,5197,52742022741,52742022734,Hill's,Science Plan,"Для котят
 Беременность и лактация",Healthy Development,Puppy&Kitten,"Сухой корм Hill's Science Plan для котят для здорового роста и развития, с курицей, 300 г",,,,,,,,,,,,,,,,,,Сухой корм,С курицей,Повседневное питание,Кошка,Котята после отъема от матери до 1 года и беременные или кормящие кошки.,до 1 года,,Hill's Pet Nutrition,Чехия,,"Компания Hill's Pet Nutrition помогает улучшить качество жизни домашних животных и их владельцев во всем мире с 1939 года. Наша миссия - улучшить и продлить особые взаимоотношения между людьми и их питомцами. Hill’s активно поддерживает ветеринарных специалистов и приюты для животных по всему миру. Корма Hill’s производятся только в Европе и США, рекомендованы ветеринарными специалистами.",,"Вашему маленькому котенку нужен высококачественный корм, поддерживающий его активный образ жизни. Именно поэтому сухой корм для котят с курицей HILL'S SCIENCE PLAN Kitten бережно приготовлен для удовлетворения потребностей растущих котят, для здорового роста и полного раскрытия заложенного потенциала. Созданный с ДГК из рыбьего жира для правильного развития мозга и здоровья глаз у котят, этот корм для молодых кошек, изготовленный из высококачественных ингредиентов, содержит качественный белок для роста мышц и здорового развития котят. Сбаланированный уровень минералов дляукрепления костей и крепких зубов, чтобы ваш котенок был здоров и хорошо себя чувствовал в первые дни его жизни. Мы с гордостью представляем вам новый образ любимого корма Hill's Science Plan. В некоторых из наших кормов также изменились названия, форма гранул и формулы.
 
 ▸Антиоксиданты с клинически подтвержденным эффектом для поддержания здорового иммунитета. 
 ▸Натуральные высококачественные ингредиенты для чувствительного пищеварения. 
 ▸Сбалансированный набор минералов для укрепления костей и зубов. 
 ▸ДГК из рыбьего жира для поддержания здоровья глаз и развития мозга 
 ▸Качественные протеины для роста мышечной массы и правильного развития котят",https://drive.google.com/drive/folders/1tVeOGzgywj3EIgJiOMtnbmdNi4ygcAT3,Поддерживает иммунитет и гармоничное развитие котят,"Долгосрочного кормления взрослых кошек, кроме случаев, когда у кошки повышенные энергетические потребности.",,"Скорректируйте количество корма в соответствии с размером вашего питомца для поддержания оптимального веса. Если вы сомневайтесь, проконсультируйтесь с вашим ветеринарным врачом.
 Пробуете этот рацион впервые? В течение 7 дней постепенно увеличивайте содержание нового корма по отношению к прежнему до момента его полного замещения.
 Обеспечьте питомцу постоянный доступ к свежей воде.
 Пищевые потребности вашего питомца могут меняться с возрастом. Уточняйте у вашего ветеринарного специалиста подходит ли текущий рацион вашему питомцу на каждом осмотре. 
 Во избежание удушья, храните открытую упаковку в месте недоступном для питомцев и детей.",,18,"Мука из курицы и индейки, кукуруза, животный жир, гидролизат белка, минералы, рыбий жир, сухая пульпа сахарной свеклы, семя льна, растительное масло, целлюлоза.","Курица 29%, общее содержание мяса домашней птицы 45%","Белок 37,8%, Жир 23,9%, ДГК 0,15%, Клетчатка 1,5%, Зола 7,2%, Кальций 1,3%, Фосфор 1,1%, Натрий 0,49%, Калий 0,83%, Магний 0,10%; на кг: Витамин А 10 542МЕ, Витамин D3 1 024МЕ, Витамин E 600мг, Витамин С 90мг, Бета-каротин 1,5мг.","3b103 (Железо) 63,4мг, 3b202 (йод) 1,0мг, 3b405 (медь) 6,3мг, 3b502 (Марганец) 6,6мг, 3b603 (цинк) 131мг, E8 (Селен) 0,1мг; с натуральным антиоксидантом.",Ккал/100 г: 439,"Без искусственных ароматизаторов, красителей и консервантов.",П/Э пакет,300г,6/300г,"28,4x14,6x21","Избегать попадания влаги. Хранить в сухом, прохладном месте, недоступном для детей и домашних животных.",https://drive.google.com/drive/folders/1XMP0DvYwhjITVJQAzOHcYmbZkGekueZA,
604714,8735,52742029191,52742029184,Hill's,Science Plan,"Для котят
 Беременность и лактация",Healthy Development,Puppy&Kitten,"Сухой корм Hill's Science Plan для котят для здорового роста и развития, с курицей, 1,5 кг",,,,,,,,,,,,,,,,,,Сухой корм,С курицей,Повседневное питание,Кошка,Котята после отъема от матери до 1 года и беременные или кормящие кошки.,до 1 года,,Hill's Pet Nutrition,Нидерланды,,"Компания Hill's Pet Nutrition помогает улучшить качество жизни домашних животных и их владельцев во всем мире с 1939 года. Наша миссия - улучшить и продлить особые взаимоотношения между людьми и их питомцами. Hill’s активно поддерживает ветеринарных специалистов и приюты для животных по всему миру. Корма Hill’s производятся только в Европе и США, рекомендованы ветеринарными специалистами.",,"Вашему маленькому котенку нужен высококачественный корм, поддерживающий его активный образ жизни. Именно поэтому сухой корм для котят с курицей HILL'S SCIENCE PLAN Kitten бережно приготовлен для удовлетворения потребностей растущих котят, для здорового роста и полного раскрытия заложенного потенциала. Созданный с ДГК из рыбьего жира для правильного развития мозга и здоровья глаз у котят, этот корм для молодых кошек, изготовленный из высококачественных ингредиентов, содержит качественный белок для роста мышц и здорового развития котят. Сбаланированный уровень минералов дляукрепления костей и крепких зубов, чтобы ваш котенок был здоров и хорошо себя чувствовал в первые дни его жизни. Мы с гордостью представляем вам новый образ любимого корма Hill's Science Plan. В некоторых из наших кормов также изменились названия, форма гранул и формулы.
 
 ▸Антиоксиданты с клинически подтвержденным эффектом для поддержания здорового иммунитета. 
 ▸Натуральные высококачественные ингредиенты для чувствительного пищеварения. 
 ▸Сбалансированный набор минералов для укрепления костей и зубов. 
 ▸ДГК из рыбьего жира для поддержания здоровья глаз и развития мозга 
 ▸Качественные протеины для роста мышечной массы и правильного развития котят",https://drive.google.com/drive/folders/1tVeOGzgywj3EIgJiOMtnbmdNi4ygcAT3,Поддерживает иммунитет и гармоничное развитие котят,"Долгосрочного кормления взрослых кошек, кроме случаев, когда у кошки повышенные энергетические потребности.",,"Скорректируйте количество корма в соответствии с размером вашего питомца для поддержания оптимального веса. Если вы сомневайтесь, проконсультируйтесь с вашим ветеринарным врачом.
 Пробуете этот рацион впервые? В течение 7 дней постепенно увеличивайте содержание нового корма по отношению к прежнему до момента его полного замещения.
 Обеспечьте питомцу постоянный доступ к свежей воде.
 Пищевые потребности вашего питомца могут меняться с возрастом. Уточняйте у вашего ветеринарного специалиста подходит ли текущий рацион вашему питомцу на каждом осмотре. 
 Во избежание удушья, храните открытую упаковку в месте недоступном для питомцев и детей.",,18,"Мука из курицы и индейки, кукуруза, животный жир, гидролизат белка, минералы, рыбий жир, сухая пульпа сахарной свеклы, семя льна, растительное масло, целлюлоза.","Курица 29%, общее содержание мяса домашней птицы 45%","Белок 37,8%, Жир 23,9%, ДГК 0,15%, Клетчатка 1,5%, Зола 7,2%, Кальций 1,3%, Фосфор 1,1%, Натрий 0,49%, Калий 0,83%, Магний 0,10%; на кг: Витамин А 10 542МЕ, Витамин D3 1 024МЕ, Витамин E 600мг, Витамин С 90мг, Бета-каротин 1,5мг.","3b103 (Железо) 63,4мг, 3b202 (йод) 1,0мг, 3b405 (медь) 6,3мг, 3b502 (Марганец) 6,6мг, 3b603 (цинк) 131мг, E8 (Селен) 0,1мг; с натуральным антиоксидантом.",Ккал/100 г: 439,"Без искусственных ароматизаторов, красителей и консервантов.",П/Э пакет,"1,5кг","6/1,5кг","39,5x19,3x31,6","Избегать попадания влаги. Хранить в сухом, прохладном месте, недоступном для детей и домашних животных.",https://drive.google.com/drive/folders/1ZSLkzSBW1QE88zMSjdQjNxG0hmE1qY8N,
604049,,52742024363,52742024356,Hill's,Science Plan,"Для котят
 Беременность и лактация",Healthy Development,Puppy&Kitten,"Сухой корм Hill's Science Plan для котят для здорового роста и развития, с курицей, 3 кг",,,,,,,,,,,,,,,,,,Сухой корм,С курицей,Повседневное питание,Кошка,Котята после отъема от матери до 1 года и беременные или кормящие кошки.,до 1 года,,Hill's Pet Nutrition,Чехия,,"Компания Hill's Pet Nutrition помогает улучшить качество жизни домашних животных и их владельцев во всем мире с 1939 года. Наша миссия - улучшить и продлить особые взаимоотношения между людьми и их питомцами. Hill’s активно поддерживает ветеринарных специалистов и приюты для животных по всему миру. Корма Hill’s производятся только в Европе и США, рекомендованы ветеринарными специалистами.",,"Вашему маленькому котенку нужен высококачественный корм, поддерживающий его активный образ жизни. Именно поэтому сухой корм для котят с курицей HILL'S SCIENCE PLAN Kitten бережно приготовлен для удовлетворения потребностей растущих котят, для здорового роста и полного раскрытия заложенного потенциала. Созданный с ДГК из рыбьего жира для правильного развития мозга и здоровья глаз у котят, этот корм для молодых кошек, изготовленный из высококачественных ингредиентов, содержит качественный белок для роста мышц и здорового развития котят. Сбаланированный уровень минералов дляукрепления костей и крепких зубов, чтобы ваш котенок был здоров и хорошо себя чувствовал в первые дни его жизни. Мы с гордостью представляем вам новый образ любимого корма Hill's Science Plan. В некоторых из наших кормов также изменились названия, форма гранул и формулы.
 
 ▸Антиоксиданты с клинически подтвержденным эффектом для поддержания здорового иммунитета. 
 ▸Натуральные высококачественные ингредиенты для чувствительного пищеварения. 
 ▸Сбалансированный набор минералов для укрепления костей и зубов. 
 ▸ДГК из рыбьего жира для поддержания здоровья глаз и развития мозга 
 ▸Качественные протеины для роста мышечной массы и правильного развития котят",https://drive.google.com/drive/folders/1tVeOGzgywj3EIgJiOMtnbmdNi4ygcAT3,Поддерживает иммунитет и гармоничное развитие котят,"Долгосрочного кормления взрослых кошек, кроме случаев, когда у кошки повышенные энергетические потребности.",,"Скорректируйте количество корма в соответствии с размером вашего питомца для поддержания оптимального веса. Если вы сомневайтесь, проконсультируйтесь с вашим ветеринарным врачом.
 Пробуете этот рацион впервые? В течение 7 дней постепенно увеличивайте содержание нового корма по отношению к прежнему до момента его полного замещения.
 Обеспечьте питомцу постоянный доступ к свежей воде.
 Пищевые потребности вашего питомца могут меняться с возрастом. Уточняйте у вашего ветеринарного специалиста подходит ли текущий рацион вашему питомцу на каждом осмотре. 
 Во избежание удушья, храните открытую упаковку в месте недоступном для питомцев и детей.",,18,"Мука из курицы и индейки, кукуруза, животный жир, гидролизат белка, минералы, рыбий жир, сухая пульпа сахарной свеклы, семя льна, растительное масло, целлюлоза.","Курица 29%, общее содержание мяса домашней птицы 45%","Белок 37,8%, Жир 23,9%, ДГК 0,15%, Клетчатка 1,5%, Зола 7,2%, Кальций 1,3%, Фосфор 1,1%, Натрий 0,49%, Калий 0,83%, Магний 0,10%; на кг: Витамин А 10 542МЕ, Витамин D3 1 024МЕ, Витамин E 600мг, Витамин С 90мг, Бета-каротин 1,5мг.","3b103 (Железо) 63,4мг, 3b202 (йод) 1,0мг, 3b405 (медь) 6,3мг, 3b502 (Марганец) 6,6мг, 3b603 (цинк) 131мг, E8 (Селен) 0,1мг; с натуральным антиоксидантом.",Ккал/100 г: 439,"Без искусственных ароматизаторов, красителей и консервантов.",П/Э пакет,3кг,4/3кг,"47x24,8x33,5","Избегать попадания влаги. Хранить в сухом, прохладном месте, недоступном для детей и домашних животных.",https://drive.google.com/drive/folders/1ylzzJtjld4glEo_9pUHdl1rVC7MkgF34,
604050,6293,52742023731,52742023731,Hill's,Science Plan,"Для котят
 Беременность и лактация",Healthy Development,Puppy&Kitten,"Сухой корм Hill's Science Plan для котят для здорового роста и развития, с курицей, 7 кг",,,,,,,,,,,,,,,,,,Сухой корм,С курицей,Повседневное питание,Кошка,Котята после отъема от матери до 1 года и беременные или кормящие кошки.,до 1 года,,Hill's Pet Nutrition,Чехия,,"Компания Hill's Pet Nutrition помогает улучшить качество жизни домашних животных и их владельцев во всем мире с 1939 года. Наша миссия - улучшить и продлить особые взаимоотношения между людьми и их питомцами. Hill’s активно поддерживает ветеринарных специалистов и приюты для животных по всему миру. Корма Hill’s производятся только в Европе и США, рекомендованы ветеринарными специалистами.",,"Вашему маленькому котенку нужен высококачественный корм, поддерживающий его активный образ жизни. Именно поэтому сухой корм для котят с курицей HILL'S SCIENCE PLAN Kitten бережно приготовлен для удовлетворения потребностей растущих котят, для здорового роста и полного раскрытия заложенного потенциала. Созданный с ДГК из рыбьего жира для правильного развития мозга и здоровья глаз у котят, этот корм для молодых кошек, изготовленный из высококачественных ингредиентов, содержит качественный белок для роста мышц и здорового развития котят. Сбаланированный уровень минералов дляукрепления костей и крепких зубов, чтобы ваш котенок был здоров и хорошо себя чувствовал в первые дни его жизни. Мы с гордостью представляем вам новый образ любимого корма Hill's Science Plan. В некоторых из наших кормов также изменились названия, форма гранул и формулы.
 
 ▸Антиоксиданты с клинически подтвержденным эффектом для поддержания здорового иммунитета. 
 ▸Натуральные высококачественные ингредиенты для чувствительного пищеварения. 
 ▸Сбалансированный набор минералов для укрепления костей и зубов. 
 ▸ДГК из рыбьего жира для поддержания здоровья глаз и развития мозга 
 ▸Качественные протеины для роста мышечной массы и правильного развития котят",https://drive.google.com/drive/folders/1tVeOGzgywj3EIgJiOMtnbmdNi4ygcAT3,Поддерживает иммунитет и гармоничное развитие котят,"Долгосрочного кормления взрослых кошек, кроме случаев, когда у кошки повышенные энергетические потребности.",,"Скорректируйте количество корма в соответствии с размером вашего питомца для поддержания оптимального веса. Если вы сомневайтесь, проконсультируйтесь с вашим ветеринарным врачом.
 Пробуете этот рацион впервые? В течение 7 дней постепенно увеличивайте содержание нового корма по отношению к прежнему до момента его полного замещения.
 Обеспечьте питомцу постоянный доступ к свежей воде.
 Пищевые потребности вашего питомца могут меняться с возрастом. Уточняйте у вашего ветеринарного специалиста подходит ли текущий рацион вашему питомцу на каждом осмотре. 
 Во избежание удушья, храните открытую упаковку в месте недоступном для питомцев и детей.",,18,"Мука из курицы и индейки, кукуруза, животный жир, гидролизат белка, минералы, рыбий жир, сухая пульпа сахарной свеклы, семя льна, растительное масло, целлюлоза.","Курица 29%, общее содержание мяса домашней птицы 45%","Белок 37,8%, Жир 23,9%, ДГК 0,15%, Клетчатка 1,5%, Зола 7,2%, Кальций 1,3%, Фосфор 1,1%, Натрий 0,49%, Калий 0,83%, Магний 0,10%; на кг: Витамин А 10 542МЕ, Витамин D3 1 024МЕ, Витамин E 600мг, Витамин С 90мг, Бета-каротин 1,5мг.","3b103 (Железо) 63,4мг, 3b202 (йод) 1,0мг, 3b405 (медь) 6,3мг, 3b502 (Марганец) 6,6мг, 3b603 (цинк) 131мг, E8 (Селен) 0,1мг; с натуральным антиоксидантом.",Ккал/100 г: 439,"Без искусственных ароматизаторов, красителей и консервантов.",П/Э пакет,7кг,7кг,"40x28x8,5","Избегать попадания влаги. Хранить в сухом, прохладном месте, недоступном для детей и домашних животных.",https://drive.google.com/drive/folders/1RKyIW7ZBUUZIQH9Ixd1T8Hg1brzXa4TZ,
604713,5198,52742519807,52742519814,Hill's,Science Plan,"Для котят
 Беременность и лактация",Healthy Development,Puppy&Kitten,"Сухой корм Hill's Science Plan для котятдля здорового роста и развития, с тунцом, 300 г",,,,,,,,,,,,,,,,,,Сухой корм,С тунцом,Повседневное питание,Кошка,Котята после отъема от матери до 1 года и беременные или кормящие кошки.,до 1 года,,Hill's Pet Nutrition,Нидерланды,,"Компания Hill's Pet Nutrition помогает улучшить качество жизни домашних животных и их владельцев во всем мире с 1939 года. Наша миссия - улучшить и продлить особые взаимоотношения между людьми и их питомцами. Hill’s активно поддерживает ветеринарных специалистов и приюты для животных по всему миру. Корма Hill’s производятся только в Европе и США, рекомендованы ветеринарными специалистами.",,"Вашему маленькому котенку нужен высококачественный корм, поддерживающий его активный образ жизни. Именно поэтому сухой корм для котят с тунцом HILL'S SCIENCE PLAN Kitten бережно приготовлен для удовлетворения потребностей растущих котят, для здорового роста и полного раскрытия заложенного потенциала. Созданный с ДГК из рыбьего жира для правильного развития мозга и здоровья глаз у котят, этот корм для молодых кошек, изготовленный из высококачественных ингредиентов, содержит качественный белок для роста мышц и здорового развития котят. Сбаланированный уровень минералов дляукрепления костей и крепких зубов, чтобы ваш котенок был здоров и хорошо себя чувствовал в первые дни его жизни. Мы с гордостью представляем вам новый образ любимого корма Hill's Science Plan. В некоторых из наших кормов также изменились названия, форма гранул и формулы.
 
 ▸Антиоксиданты с клинически подтвержденным эффектом для поддержания здорового иммунитета. 
 ▸Натуральные высококачественные ингредиенты для чувствительного пищеварения. 
 ▸Сбалансированный набор минералов для укрепления костей и зубов. 
 ▸ДГК из рыбьего жира для поддержания здоровья глаз и развития мозга 
 ▸Качественные протеины для роста мышечной массы и правильного развития котят",https://drive.google.com/drive/folders/1tVeOGzgywj3EIgJiOMtnbmdNi4ygcAT3,Поддерживает иммунитет и гармоничное развитие котят,"Долгосрочного кормления взрослых кошек, кроме случаев, когда у кошки повышенные энергетические потребности.",,"Скорректируйте количество корма в соответствии с размером вашего питомца для поддержания оптимального веса. Если вы сомневайтесь, проконсультируйтесь с вашим ветеринарным врачом.
 Пробуете этот рацион впервые? В течение 7 дней постепенно увеличивайте содержание нового корма по отношению к прежнему до момента его полного замещения.
 Обеспечьте питомцу постоянный доступ к свежей воде.
 Пищевые потребности вашего питомца могут меняться с возрастом. Уточняйте у вашего ветеринарного специалиста подходит ли текущий рацион вашему питомцу на каждом осмотре. 
 Во избежание удушья, храните открытую упаковку в месте недоступном для питомцев и детей.",,18,"Мука из курицы и индейки, кукуруза, животный жир, мука из тунца, мука из кукурузного глютена, гидролизат белка, семя льна, минералы, сухая пульпа сахарной свеклы, рыбий жир, растительное масло.",Тунец 5%,"Белок 37,3%, Жир 24,1%, ДГК 0,15%, Клетчатка 1,2%, Зола 7,3%, Кальций 1,4%, Фосфор 1,1%, Натрий 0,48%, Калий 0,82%, Магний 0,10%; на кг: Витамин А 8 556МЕ, Витамин D3 878МЕ, Витамин E 600мг, Витамин С 90мг, Бета-каротин 1,5мг.","3b103 (Железо) 58,8мг, 3b202 (йод) 2,6мг, 3b405 (медь) 5,8мг, 3b502 (Марганец) 6,1мг, 3b603 (цинк) 91,2мг; с натуральным антиоксидантом.",Ккал/100 г: 441,"Без искусственных ароматизаторов, красителей и консервантов.",П/Э пакет,300г,6/300г,"28,4x14,6x21","Избегать попадания влаги. Хранить в сухом, прохладном месте, недоступном для детей и домашних животных.",https://drive.google.com/drive/folders/1u5a6wUVTPs7tZqyY9yK2h8RcG5bzUK0x,
604715,8775,52742028484,52742028491,Hill's,Science Plan,"Для котят
 Беременность и лактация",Healthy Development,Puppy&Kitten,"Сухой корм Hill's Science Plan для котят для здорового роста и развития, с тунцом, 1,5 кг",,,,,,,,,,,,,,,,,,Сухой корм,С тунцом,Повседневное питание,Кошка,Котята после отъема от матери до 1 года и беременные или кормящие кошки.,до 1 года,,Hill's Pet Nutrition,Нидерланды,,"Компания Hill's Pet Nutrition помогает улучшить качество жизни домашних животных и их владельцев во всем мире с 1939 года. Наша миссия - улучшить и продлить особые взаимоотношения между людьми и их питомцами. Hill’s активно поддерживает ветеринарных специалистов и приюты для животных по всему миру. Корма Hill’s производятся только в Европе и США, рекомендованы ветеринарными специалистами.",,"Вашему маленькому котенку нужен высококачественный корм, поддерживающий его активный образ жизни. Именно поэтому сухой корм для котят с тунцом HILL'S SCIENCE PLAN Kitten бережно приготовлен для удовлетворения потребностей растущих котят, для здорового роста и полного раскрытия заложенного потенциала. Созданный с ДГК из рыбьего жира для правильного развития мозга и здоровья глаз у котят, этот корм для молодых кошек, изготовленный из высококачественных ингредиентов, содержит качественный белок для роста мышц и здорового развития котят. Сбаланированный уровень минералов дляукрепления костей и крепких зубов, чтобы ваш котенок был здоров и хорошо себя чувствовал в первые дни его жизни. Мы с гордостью представляем вам новый образ любимого корма Hill's Science Plan. В некоторых из наших кормов также изменились названия, форма гранул и формулы.
 
 ▸Антиоксиданты с клинически подтвержденным эффектом для поддержания здорового иммунитета. 
 ▸Натуральные высококачественные ингредиенты для чувствительного пищеварения. 
 ▸Сбалансированный набор минералов для укрепления костей и зубов. 
 ▸ДГК из рыбьего жира для поддержания здоровья глаз и развития мозга 
 ▸Качественные протеины для роста мышечной массы и правильного развития котят",https://drive.google.com/drive/folders/1tVeOGzgywj3EIgJiOMtnbmdNi4ygcAT3,Поддерживает иммунитет и гармоничное развитие котят,"Долгосрочного кормления взрослых кошек, кроме случаев, когда у кошки повышенные энергетические потребности.",,"Скорректируйте количество корма в соответствии с размером вашего питомца для поддержания оптимального веса. Если вы сомневайтесь, проконсультируйтесь с вашим ветеринарным врачом.
 Пробуете этот рацион впервые? В течение 7 дней постепенно увеличивайте содержание нового корма по отношению к прежнему до момента его полного замещения.
 Обеспечьте питомцу постоянный доступ к свежей воде.
 Пищевые потребности вашего питомца могут меняться с возрастом. Уточняйте у вашего ветеринарного специалиста подходит ли текущий рацион вашему питомцу на каждом осмотре. 
 Во избежание удушья, храните открытую упаковку в месте недоступном для питомцев и детей.",,18,"Мука из курицы и индейки, кукуруза, животный жир, мука из тунца, мука из кукурузного глютена, гидролизат белка, семя льна, минералы, сухая пульпа сахарной свеклы, рыбий жир, растительное масло.",Тунец 5%,"Белок 37,3%, Жир 24,1%, ДГК 0,15%, Клетчатка 1,2%, Зола 7,3%, Кальций 1,4%, Фосфор 1,1%, Натрий 0,48%, Калий 0,82%, Магний 0,10%; на кг: Витамин А 8 556МЕ, Витамин D3 878МЕ, Витамин E 600мг, Витамин С 90мг, Бета-каротин 1,5мг.","3b103 (Железо) 58,8мг, 3b202 (йод) 2,6мг, 3b405 (медь) 5,8мг, 3b502 (Марганец) 6,1мг, 3b603 (цинк) 91,2мг; с натуральным антиоксидантом.",Ккал/100 г: 441,"Без искусственных ароматизаторов, красителей и консервантов.",П/Э пакет,"1,5кг","6/1,5кг","39,5x19,3x31,6","Избегать попадания влаги. Хранить в сухом, прохладном месте, недоступном для детей и домашних животных.",https://drive.google.com/drive/folders/155Z3_vHzFPVFDJp3ybRp-26i_Y6GJYd1,
604173,,52742024431,52742024431,Hill's,Science Plan,"Для котят
 Беременность и лактация",Healthy Development,Puppy&Kitten,"Сухой корм Hill's Science Plan для котят для здорового роста и развития, с тунцом, 7 кг",,,,,,,,,,,,,,,,,,Сухой корм,С тунцом,Повседневное питание,Кошка,Котята после отъема от матери до 1 года и беременные или кормящие кошки.,до 1 года,,Hill's Pet Nutrition,Нидерланды,,"Компания Hill's Pet Nutrition помогает улучшить качество жизни домашних животных и их владельцев во всем мире с 1939 года. Наша миссия - улучшить и продлить особые взаимоотношения между людьми и их питомцами. Hill’s активно поддерживает ветеринарных специалистов и приюты для животных по всему миру. Корма Hill’s производятся только в Европе и США, рекомендованы ветеринарными специалистами.",,"Вашему маленькому котенку нужен высококачественный корм, поддерживающий его активный образ жизни. Именно поэтому сухой корм для котят с тунцом HILL'S SCIENCE PLAN Kitten бережно приготовлен для удовлетворения потребностей растущих котят, для здорового роста и полного раскрытия заложенного потенциала. Созданный с ДГК из рыбьего жира для правильного развития мозга и здоровья глаз у котят, этот корм для молодых кошек, изготовленный из высококачественных ингредиентов, содержит качественный белок для роста мышц и здорового развития котят. Сбаланированный уровень минералов дляукрепления костей и крепких зубов, чтобы ваш котенок был здоров и хорошо себя чувствовал в первые дни его жизни. Мы с гордостью представляем вам новый образ любимого корма Hill's Science Plan. В некоторых из наших кормов также изменились названия, форма гранул и формулы.
 
 ▸Антиоксиданты с клинически подтвержденным эффектом для поддержания здорового иммунитета. 
 ▸Натуральные высококачественные ингредиенты для чувствительного пищеварения. 
 ▸Сбалансированный набор минералов для укрепления костей и зубов. 
 ▸ДГК из рыбьего жира для поддержания здоровья глаз и развития мозга 
 ▸Качественные протеины для роста мышечной массы и правильного развития котят",https://drive.google.com/drive/folders/1tVeOGzgywj3EIgJiOMtnbmdNi4ygcAT3,Поддерживает иммунитет и гармоничное развитие котят,"Долгосрочного кормления взрослых кошек, кроме случаев, когда у кошки повышенные энергетические потребности.",,"Скорректируйте количество корма в соответствии с размером вашего питомца для поддержания оптимального веса. Если вы сомневайтесь, проконсультируйтесь с вашим ветеринарным врачом.
 Пробуете этот рацион впервые? В течение 7 дней постепенно увеличивайте содержание нового корма по отношению к прежнему до момента его полного замещения.
 Обеспечьте питомцу постоянный доступ к свежей воде.
 Пищевые потребности вашего питомца могут меняться с возрастом. Уточняйте у вашего ветеринарного специалиста подходит ли текущий рацион вашему питомцу на каждом осмотре. 
 Во избежание удушья, храните открытую упаковку в месте недоступном для питомцев и детей.",,18,"Мука из курицы и индейки, кукуруза, животный жир, мука из тунца, мука из кукурузного глютена, гидролизат белка, семя льна, минералы, сухая пульпа сахарной свеклы, рыбий жир, растительное масло.",Тунец 5%,"Белок 37,3%, Жир 24,1%, ДГК 0,15%, Клетчатка 1,2%, Зола 7,3%, Кальций 1,4%, Фосфор 1,1%, Натрий 0,48%, Калий 0,82%, Магний 0,10%; на кг: Витамин А 8 556МЕ, Витамин D3 878МЕ, Витамин E 600мг, Витамин С 90мг, Бета-каротин 1,5мг.","3b103 (Железо) 58,8мг, 3b202 (йод) 2,6мг, 3b405 (медь) 5,8мг, 3b502 (Марганец) 6,1мг, 3b603 (цинк) 91,2мг; с натуральным антиоксидантом.",Ккал/100 г: 441,"Без искусственных ароматизаторов, красителей и консервантов.",П/Э пакет,7кг,7кг,"40x28x8,5","Избегать попадания влаги. Хранить в сухом, прохладном месте, недоступном для детей и домашних животных.",https://drive.google.com/drive/folders/1BHyOcqQUYhgoWkTw3troycgYSkZDYH9U,
