;;Ќазвание категории в 1-с;÷ена;
;;;;
;RU PUR Felix Tasty By NatureAduldCIG 85g;;;
;12392207;FELIX Nature of Taste  вѕ урица24x85гRU;24,18;
;12392208;FELIX Nature of Taste вѕ√ов€дина24x85гRU;24,18;
;12392209;FELIX Nature of Taste  вѕ Ћосось24x85гRU;24,18;
;RU PUR FELIX CRUNCHY SENSATIONS;;;
;12351441;FLX Snst’руст“оп √в∆ ћ€со12(3x85г+12г)X8;86,08;
;12351442;FLX Snst’руст“оп √в∆ –ыба12(3x85г+12г)X8;86,08;
;RU PUR Felix Doubly Delicious 85g;;;
;12294936;FELIX ƒвойн¬кус √в∆ »ндейка&ѕечень 24x85;24,18;
;12294937;FELIX ƒвойн¬кус √в∆ Ћосось&‘орель 24x85;24,18;
;12294935;FELIX ƒвойн¬кус √в∆ ягненок& урица 24x85;24,18;
;12294934;FELIX DblyDl GiJ Beef&Poultry 24x85gN1RU;24,18;
;RU PUR Felix Sensations 85g;;;
;12318961;FELIX Sensations √в∆ Ћос“реска 24х85г XG;24,18;
;12318965;FELIX Sensations √в∆ √ов&“омат 24x85г XG;24,18;
;12318964;FELIX Sensations √в∆  ур&ћорк 24x85г XG;24,18;
;12318963;FELIX Sensations √в∆ ”тк&Ўпин 24x85г XG;24,18;
;RU PUR FELIX Surprise Wet Cat 85 g;;;
;12318968;FELIX —енс в”див—оу √ов&“ом 24x85g XG;24,18;
;12318969;FELIX —енс в”див—оу »нд&Ѕек 24x85g XG;24,18;
;12318966;FELIX —енс в”див—оу “рес&“ом 24x85g XG ;24,18;
;12318967;FELIX —енс в”див—оу ”тк&ћор 24x85g XG ;24,18;
;RU PUR Felix Wet Cat 85g;;;
;12318916;FELIX AGAIL √в∆ √ов€дина 24x85г XG ;24,18;
;12318919;FELIX AGAIL √в∆ »ндейка 24x85г XG ;24,18;
;12318915;FELIX AGAIL √в∆  ролик 24x85г XG;24,18;
;12318917;FELIX AGAIL √в∆  урица и “омат 24x85г XG ;24,18;
;12114152;FELIX AGAIL √в∆  урица и “омат 85г (24) RU;24,18;
;12318960;FELIX AGAIL √в∆  урица 24x85г RU XG;24,18;
;12318918;FELIX AGAIL √в∆ Ћосось 24x85г XG ;24,18;
;12318914;FELIX AGAIL √в∆ ‘орель 24x85g RU;24,18;
;12318913;FELIX AGAIL √в∆ ягненок 24x85г XG;24,18;
;12333330;FELIX ƒ/ от€т AGAIL √в∆  урица 24x85гRU;24,18;
;RU PUR Friskies Wet Cat 85g;;;
;12383900, 12369395;FRISKIES ƒ/кош  вѕ ѕечень ѕауч 24x85г RU;15,35;
12383906;12261826;FRISKIES ƒ/ ош  вѕ √ов 24х85гX8;15,35;
;12261850;FRISKIES ƒ/ ош  вѕ  ур 24х85г X8;15,35;
;12376058;FRISKIES Kitten CiG Chkn Pouch 24x85g RU;15,35;
12383904;12261815;FRISKIES ƒ/ ош  вѕ ”тка 24х85гX8;15,35;
12383902;12339362;FRISKIES ƒ/ ош »ндейка в подл 24х85г;15,35;
;12383905;FRISKIES д/ ош  ур в подл 24х85г;15,35;
12383903;12261837;FRISKIES ƒ/ ош  вѕ ягненок 24х85гX8;15,35;
;12383901,   12369394;FRISKIES ƒ/кош  вѕ Ћосось ѕауч 24x85г RU;15,35;
;12383065;FRISKIES Cat CiG Tongue Pouch 24x85g RU;15,35;
;RU PUR Friskies Wet Cat 100g;;;
;12227705;FRISKIES ADULT Cat  вѕ  рол 20x100г X8;19,31;
;12227710;FRISKIES Cat  вѕ √ов&ягн 20x100гX8;19,31;
;12227707;FRISKIES Cat  вѕ »нд&ѕеч20x100гX8;19,31;
;12227658;FRISKIES Cat  вѕ  урица 20x100гX8;19,31;
;12239320;FRISKIES Cat  вѕ Ћосось 20x100г X8;19,31;
;12227682;FRISKIES JUNIOR  вѕ  урица 20x100г X8;19,31;
;12227702;FRISKIES ƒ/¬зр  ош  вѕ √ов€д 20x100гX8;19,31;
;RU PUR FELIX Cat Snacks 20g;;;
;12393612;FELIX ’руст€щее лакомство  урица 15x20г;25,02;
;12393613;FELIX ’руст€щее лакомство –ыба 15x20г;25,02;
;12393616;FELIX ’руст€щее лакомство √ов€дина 8x60г;55,49;
;12393618;FELIX ’руст€щее лакомство –ыба 8x60г;55,49;
;12393615;FELIX ’руст€щее лакомство —ыр 8x60г RU;55,49;
;12393611;FELIX ’руст€щее лакомство √ов€дина 15x20;25,02;
;12237743;FELIX PARTY MIX √рильћикс 15x20г;25,03;
;12237744;FELIX PARTY MIX ћорскойћикс 15x20г;25,03;
;12237745;FELIX PARTY MIX ќригиналћикс 15x20г;25,03;
;12237742;FELIX PARTY MIX —ырныйћикс 15x20г;25,03;
;RU PUR FELIX SOUP GiG 48g;;;
;12378668;FELIX Soup GiG Chicken 48g (30) RU;14,75;
;12378667;FELIX Soup GiG Beef 48g (30) RU;14,75;
;12378671;FELIX Soup GiG Cod 48g (30) RU;14,75;
;RU PUR FELIX Cat Snacks 60g;;;
;12399504;FELIX ’руст€щее лакомство ћолоко 8x60г;55,49;
;12234059;FELIX PARTY MIX √рильћикс 8x60г;55,49;
;12234058;FELIX PARTY MIX ћорскойћикс 8x60г;55,49;
;12234057;FELIX PARTY MIX ќригиналћикс 8x60г;55,49;
;12234070, 12370944 ;FELIX PARTY MIX —ырныйћикс 8x60г;55,49;
;RU PUR FELIX DD Dry Cat 1.5kg;;;
12384537;12378965;FELIX Doubly Delicious Meat 6x1.5kg RU;336,32;
;12378966;FELIX Doubly Delicious Poultry 6x1.5kgRU;336,32;
;RU PUR FRISKIES DOG WET 85g;;;
;12378636;FRISKIES Dog CiG Beef 24x85g RU;13,04;
;12378621;FRISKIES Dog CiG Chicken 24x85g RU;13,04;
;12378637;FRISKIES Dog CiG Lamb (24x85g) RU;13,04;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
